243,,Male,"2,594","2,335","1,556",60.0,3.1,66.6,3.2,"1,280",49.4,3.2,54.8,3.4
244,,Female,"2,866","2,583","1,789",62.4,3.0,69.3,3.0,"1,451",50.6,3.1,56.2,3.2
245,,White alone,"4,417","4,156","2,934",66.4,2.3,70.6,2.3,"2,397",54.3,2.5,57.7,2.5
246,,White non-Hispanic alone,"4,006","3,858","2,737",68.3,2.4,70.9,2.4,"2,266",56.6,2.6,58.7,2.6
247,,Black alone,454,413,240,52.8,9.3,58.0,9.6,194,42.7,9.2,47.0,9.7
248,,Asian alone,416,234,113,27.0,9.0,48.2,13.5,101,24.2,8.7,43.1,13.4
249,,Hispanic (of any race),565,414,249,44.1,10.7,60.2,12.4,177,31.3,10.0,42.7,12.5
250,,White alone or in combination,"4,584","4,266","2,993",65.3,2.3,70.2,2.3,"2,437",53.2,2.4,57.1,2.5
251,,Black alone or in combination,561,464,258,46.0,8.3,55.6,9.1,203,36.2,8.0,43.7,9.1
252,,Asian alone or in combination,467,284,144,30.9,8.8,50.8,12.3,125,26.9,8.5,44.1,12.2
253,MICHIGAN,Total,"7,657","7,430","5,453",71.2,1.7,73.4,1.7,"4,418",57.7,1.9,59.5,1.9
254,,Male,"3,688","3,564","2,563",69.5,2.5,71.9,2.5,"2,072",56.2,2.7,58.1,2.7
255,,Female,"3,970","3,866","2,890",72.8,2.3,74.8,2.3,"2,346",59.1,2.6,60.7,2.6
256,,White alone,"6,257","6,171","4,620",73.8,1.8,74.9,1.8,"3,724",59.5,2.0,60.4,2.1
257,,White non-Hispanic alone,"6,033","5,973","4,526",75.0,1.8,75.8,1.8,"3,648",60.5,2.1,61.1,2.1
258,,Black alone,"1,027","1,003",670,65.2,5.9,66.8,5.9,557,54.2,6.2,55.5,6.3
259,,Asian alone,242,134,91,37.5,13.0,67.9,16.8,72,29.9,12.3,54.1,18.0
260,,Hispanic (of any race),241,203,99,41.1,16.4,48.9,18.2,81,33.8,15.8,40.1,17.8
261,,White alone or in combination,"6,335","6,243","4,671",73.7,1.8,74.8,1.8,"3,770",59.5,2.0,60.4,2.0
262,,Black alone or in combination,"1,078","1,048",690,63.9,5.8,65.8,5.9,571,53.0,6.1,54.5,6.1
263,,Asian alone or in combination,265,157,114,43.0,12.7,72.7,14.8,96,36.1,12.3,61.0,16.2
264,MINNESOTA,Total,"4,238","4,006","3,000",70.8,2.3,74.9,2.3,"2,523",59.5,2.5,63.0,2.5
